account_id,device_id,linked_bank_account,ip_subnet,signup_day,txn_count_first_7d,cluster_type,cluster_id,is_fraud_ring_member
ACCT-001072,DEV-441750,ACC-759099827,61.193.2.0/24,84,1,none,,0
ACCT-002714,DEV-164220,ACC-630262712,136.146.52.0/24,135,5,none,,0
ACCT-003025,DEV-530997,ACC-586205093,169.161.35.0/24,172,2,legit_shared_device,LEGIT-006,0
ACCT-002648,DEV-759287,ACC-386311015,57.57.56.0/24,223,1,none,,0
ACCT-001415,DEV-466991,ACC-662990061,62.198.135.0/24,13,3,none,,0
ACCT-000545,DEV-301291,ACC-190204260,170.158.136.0/24,69,2,none,,0
ACCT-001904,DEV-792638,ACC-217719635,215.163.85.0/24,356,1,none,,0
ACCT-000753,DEV-832738,ACC-363537165,123.118.102.0/24,150,2,none,,0
ACCT-002523,DEV-217978,ACC-193648823,32.248.94.0/24,209,0,none,,0
ACCT-000422,DEV-256806,ACC-836242747,3.101.116.0/24,220,4,none,,0
ACCT-002766,DEV-692773,ACC-436168908,57.255.224.0/24,236,2,none,,0
ACCT-002537,DEV-537975,ACC-820543058,171.184.252.0/24,101,1,none,,0
ACCT-001001,DEV-585834,ACC-454963530,144.50.74.0/24,158,0,none,,0
ACCT-001319,DEV-218329,ACC-993420120,4.120.84.0/24,281,1,none,,0
ACCT-003195,DEV-959990,ACC-456006754,165.91.215.0/24,195,10,fraud_ring,RING-002,1
ACCT-000853,DEV-883243,ACC-913329616,155.216.32.0/24,333,1,none,,0
ACCT-002070,DEV-473425,ACC-781332961,190.66.237.0/24,19,4,none,,0
ACCT-000723,DEV-964638,ACC-294470602,100.35.238.0/24,258,1,none,,0
ACCT-002426,DEV-846628,ACC-905742812,83.6.168.0/24,106,2,none,,0
ACCT-002485,DEV-808882,ACC-978593721,37.246.58.0/24,58,5,none,,0
ACCT-001035,DEV-877871,ACC-643598022,2.212.221.0/24,14,3,none,,0
ACCT-002012,DEV-173879,ACC-498103520,111.118.188.0/24,251,2,none,,0
ACCT-000229,DEV-798556,ACC-873124011,19.74.138.0/24,245,3,none,,0
ACCT-001738,DEV-622234,ACC-106232576,103.175.20.0/24,230,0,none,,0
ACCT-003255,DEV-101667,ACC-901690048,40.162.11.0/24,295,9,fraud_ring,RING-009,1
ACCT-000929,DEV-664023,ACC-177981165,220.190.223.0/24,143,1,none,,0
ACCT-000630,DEV-992570,ACC-365146741,63.156.254.0/24,271,1,none,,0
